name,year,selling_price_inr,km_driven,fuel,seller_type,transmission,owner,seats,engine_cc,max_power_bhp
Volkswagen Ameo 1.5 TDI Comfortline,2016.0,575000.0,50000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,108.62
Skoda Rapid 1.5 TDI AT Elegance,2016.0,675000.0,675000.0,Diesel,Dealer,Automatic,First Owner,5,1498.0,103.52
Maruti Baleno Zeta Diesel,2016.0,479000.0,479000.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0
Mahindra XUV500 W11 BSIV,2019.0,1667000.0000000002,20000.0,Diesel,Individual,Manual,First Owner,7,2179.0,152.87
Tata Indigo eLX BS IV,2011.0,200000.0,100000.0,Diesel,Individual,Manual,First Owner,5,1396.0,69.0
Hyundai i10 Magna 1.1L,2011.0,225000.0,80000.0,Petrol,Individual,Manual,Second Owner,5,1086.0,68.05
Force Gurkha Hard Top BS3 4WD,2016.0,700000.0,60000.0,Diesel,Individual,Manual,First Owner,5,2596.0,80.8
Hyundai Grand i10 1.2 CRDi Era,2017.0,375000.0,73000.0,Diesel,Individual,Manual,First Owner,5,1186.0,73.97
Maruti Wagon R VXI BSII,2014.0,315000.0,86000.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.1
Maruti Celerio ZXI,2017.0,350000.0,50000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04
Honda CR-V 2.4L 4WD AT,2016.0,1450000.0,60000.0,Petrol,Dealer,Automatic,First Owner,5,2354.0,187.4
Mercedes-Benz GLE Class 250d,2016.0,3899000.0,30000.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,201.15
Hyundai EON Era,2012.0,185000.0,25000.0,Petrol,Individual,Manual,First Owner,5,814.0,55.2
Honda City i DTec VX,2018.0,1150000.0,18000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6
Maruti Zen Estilo LXI BS IV,2013.0,200000.0,37000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.1
Hyundai Verna 1.6 SX CRDi (O),2014.0,527000.0,70355.0,Diesel,Dealer,Manual,First Owner,5,1582.0,126.32
Mahindra Renault Logan 1.5 DLE Diesel,2007.0,180000.0,187000.0,Diesel,Individual,Manual,Second Owner,5,1461.0,65.0
Mahindra XUV500 W5 BSIV,2019.0,1250000.0,15000.0,Diesel,Individual,Manual,First Owner,7,2179.0,152.87
Tata Indica V2 eLX,2012.0,83000.0,90000.0,Diesel,Individual,Manual,Second Owner,5,1396.0,69.0
Maruti A Star Vxi,2011.0,185000.0,124000.0,Petrol,Dealer,Manual,First Owner,5,998.0,66.1
Honda Amaze S i-Dtech,2015.0,388000.0,66000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.6
Honda Jazz 1.2 VX i VTEC,2019.0,825000.0,12000.0,Petrol,Dealer,Manual,First Owner,5,1199.0,88.7
Tata Nano XT,2015.0,184000.0,29000.0,Petrol,Dealer,Manual,First Owner,4,624.0,37.48
Hyundai Santa Fe 2WD AT,2014.0,1295000.0,68000.0,Diesel,Dealer,Automatic,First Owner,7,2199.0,194.3
Maruti Alto 800 LXI,2014.0,235000.0,50000.0,Petrol,Individual,Manual,First Owner,5,796.0,47.3
Maruti Alto K10 VXI,2017.0,325000.0,3564.0,Petrol,Individual,Manual,First Owner,5,998.0,67.05
Maruti Wagon R LXI CNG,2013.0,270000.0,67370.0,CNG,Dealer,Manual,First Owner,5,998.0,58.16
Land Rover Range Rover Evoque 2.0 TD4 SE Dynamic,2017.0,4350000.0,45000.0,Diesel,Dealer,Automatic,First Owner,5,1999.0,177.0
Honda Amaze S AT i-Vtech,2017.0,525000.0,45000.0,Petrol,Dealer,Automatic,First Owner,5,1198.0,86.7
Mahindra Marazzo M6 8Str,2018.0,1200000.0,35000.0,Diesel,Individual,Manual,First Owner,8,1497.0,121.0
Tata Indigo CS LS (TDI) BS III,2009.0,160000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1396.0,69.0
Volkswagen Polo 2015-2019 1.2 MPI Highline,2014.0,465000.00000000006,18520.0,Petrol,Dealer,Manual,First Owner,5,1199.0,74.0
Datsun GO Plus T BSIV,2016.0,450000.0,30000.0,Petrol,Individual,Manual,First Owner,7,1198.0,67.0
Toyota Innova 2.5 G (Diesel) 8 Seater,2013.0,850000.0,40000.0,Diesel,Individual,Manual,First Owner,8,2494.0,100.6
Honda City i VTEC CVT VX,2015.0,765000.0,29000.0,Petrol,Dealer,Automatic,First Owner,5,1497.0,117.3
Ford Ecosport 2015-2021 1.5 TDCi Titanium Plus BSIV,2015.0,599000.0,69000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.59
Maruti Alto K10 VXI AGS,2019.0,484999.99999999994,13413.0,Petrol,Dealer,Automatic,First Owner,5,998.0,67.05
Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,2013.0,980000.0000000001,127000.0,Diesel,Dealer,Manual,First Owner,7,2494.0,100.0
Maruti Swift VDI,2012.0,499000.0,70000.0,Diesel,Individual,Manual,First Owner,5,1248.0,74.0
Maruti Alto K10 VXI,2015.0,290000.0,35100.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.05
Tata Indica Vista Aqua 1.4 TDI,2010.0,130000.0,90000.0,Diesel,Individual,Manual,First Owner,5,1405.0,71.0
Maruti Swift VDI BSIV,2011.0,385000.0,42002.0,Diesel,Dealer,Manual,First Owner,5,1248.0,74.0
Ford Ecosport 2015-2021 1.5 Diesel Titanium Plus BSIV,2018.0,1050000.0,18000.0,Diesel,Dealer,Manual,First Owner,5,1498.0,98.96
Maruti SX4 VDI,2013.0,300000.0,82200.0,Diesel,Dealer,Manual,First Owner,5,1248.0,88.8
Maruti Wagon R VXI BS IV,2015.0,400000.0,22500.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04
Honda City 1.5 V MT,2013.0,560000.0,31000.0,Petrol,Dealer,Manual,First Owner,5,1497.0,118.0
Hyundai i20 Magna 1.4 CRDi,2015.0,422000.0,60000.0,Diesel,Individual,Manual,First Owner,5,1396.0,88.73
Hyundai i20 1.4 CRDi Asta,2012.0,300000.0,120000.0,Diesel,Individual,Manual,Second Owner,5,1396.0,90.0
Maruti Swift Dzire AMT VXI BS IV,2019.0,660000.0,10000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.8
Tata Indigo GLX,2012.0,160000.0,100000.0,Petrol,Individual,Manual,First Owner,5,1396.0,65.0
Maruti Alto 800 CNG LXI,2015.0,216000.0,90000.0,CNG,Individual,Manual,First Owner,5,796.0,47.3
Tata Harrier XZ BSIV,2019.0,1595000.0,18000.0,Diesel,Dealer,Manual,First Owner,5,1956.0,138.1
Mahindra KUV 100 mFALCON G80 K6 AW,2017.0,325000.0,5000.0,Petrol,Individual,Manual,Second Owner,6,1198.0,82.0
Maruti Swift Dzire AMT ZXI Plus BS IV,2018.0,800000.0,12000.0,Petrol,Individual,Automatic,First Owner,5,1197.0,81.8
Renault KWID RXT,2016.0,300000.0,30000.0,Petrol,Individual,Manual,First Owner,5,799.0,53.3
Honda Brio EX MT,2014.0,325000.0,55123.0,Petrol,Dealer,Manual,First Owner,5,1198.0,86.8
Hyundai EON Magna,2013.0,250000.0,43429.0,Petrol,Dealer,Manual,First Owner,5,814.0,55.0
Hyundai Verna 1.6 SX CRDi (O),2014.0,525000.0,80000.0,Diesel,Individual,Manual,Second Owner,5,1582.0,126.32
Maruti Swift AMT VVT VXI,2019.0,650000.0,5621.0,Petrol,Dealer,Automatic,First Owner,5,1197.0,81.8
Maruti Celerio VXI,2016.0,375000.0,70000.0,Petrol,Individual,Manual,First Owner,5,998.0,67.04
Hyundai Grand i10 1.2 Kappa Sportz BSIV,2018.0,520000.0,20000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.86
Mercedes-Benz C-Class C 220 CDI BE Avantgarde,2014.0,1675000.0,51000.0,Diesel,Dealer,Automatic,First Owner,5,2143.0,167.62
Ford Ecosport 2015-2021 1.5 Diesel Titanium BSIV,2018.0,950000.0,40000.0,Diesel,Individual,Manual,First Owner,5,1498.0,98.96
Hyundai Creta 1.6 CRDi SX Option,2016.0,1100000.0,96000.0,Diesel,Individual,Manual,First Owner,5,1582.0,126.2
Mahindra Bolero DI,2008.0,190000.0,120000.0,Diesel,Individual,Manual,Second Owner,7,2523.0,63.0
Hyundai Grand i10 1.2 Kappa Asta,2013.0,420000.0,21000.0,Petrol,Individual,Manual,First Owner,5,1197.0,81.86
Mercedes-Benz E-Class E 200 CGI,2017.0,3995000.0000000005,35000.0,Petrol,Dealer,Automatic,First Owner,5,1991.0,184.0
Ford Figo Diesel ZXI,2014.0,360000.0,60000.0,Diesel,Individual,Manual,First Owner,5,1399.0,68.05
Volkswagen Vento Diesel Highline,2013.0,400000.0,110000.0,Diesel,Individual,Manual,First Owner,5,1598.0,103.6
Chevrolet Enjoy TCDi LS 8 Seater,2014.0,349000.0,47123.0,Diesel,Dealer,Manual,First Owner,8,1248.0,73.8
Honda City i-DTEC V,2018.0,975000.0,15000.0,Diesel,Individual,Manual,First Owner,5,1498.0,97.9
Hyundai Accent Executive,2011.0,250000.0,35000.0,Petrol,Individual,Manual,First Owner,5,1495.0,93.7
Toyota Fortuner 4x4 MT,2012.0,880000.0000000001,102000.0,Diesel,Dealer,Manual,First Owner,7,2982.0,168.5
Maruti Vitara Brezza ZDi Plus Dual Tone,2016.0,825000.0,75000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.5
Honda Brio Exclusive Edition,2013.0,355000.0,80000.0,Petrol,Individual,Manual,First Owner,5,1198.0,86.8
Toyota Innova 2.5 G (Diesel) 8 Seater,2014.0,1050000.0,71000.0,Diesel,Dealer,Manual,First Owner,8,2494.0,100.6
Maruti S-Cross 2017-2020 Sigma DDiS 200 SH,2017.0,800000.0,35000.0,Diesel,Individual,Manual,First Owner,5,1248.0,88.5
Hyundai EON D Lite Plus,2014.0,200000.0,25000.0,Petrol,Individual,Manual,First Owner,5,814.0,55.2
Maruti Wagon R VXI,2014.0,382000.0,25932.0,Petrol,Dealer,Manual,First Owner,5,998.0,67.05
Ford Ecosport 1.5 Ti VCT MT Trend,2014.0,509999.99999999994,55000.0,Petrol,Dealer,Manual,First Owner,5,1499.0,110.0
Skoda Superb Elegance 2.0 TDI CR AT,2011.0,700000.0,20000.0,Diesel,Individual,Automatic,First Owner,5,1968.0,138.1
Volkswagen Polo GT TSI,2015.0,690000.0,30171.0,Petrol,Dealer,Automatic,First Owner,5,1197.0,103.6
